ticker,ticker_full,currency,description,fund_type,alt_ticker
EURGBP=X,EURGBP=X,GBP,EUR to GBP,acc,
GBP=X,GBP=X,GBP,USD to GBP,acc,
CSUKS,CSUKS.SW,GBP,iShares MSCI UK Small Cap UCITS ETF,acc,
IMEU,IMEU.AS,EUR,iShares Core MSCI Europe UCITS ETF,acc,
CSX5,CSX5.L,EUR,iShares STOXX Europe 50 UCITS ETF,acc,EUN
EUMD,EUMD.L,EUR,iShares MSCI Europe Mid Cap ETF EUR Acc,acc,DJMC
CUKX,CUKX.L,GBP,iShares Core FTSE 100 UCITS ETF,acc,ISF
ISFD,ISFD.L,USD,iShares Core FTSE 100 UCITS ETF - USD hedged,acc,
IUKD,IUKD.L,GBP,iShares UK Dividend UCITS ETF,dist,SAME
VMIG,VMIG.L,GBP,Vanguard FTSE 250 UCITS ETF,acc,
CNDX,CNDX.L,USD,iShares NASDAQ 100 UCITS ETF,acc,
VUAG,VUAG.L,GBP,VANGUARD FUNDS PLC S&P 500 UCITS ETF,acc,
IGUS,IGUS.L,GBP,iShares Core S&P 500 UCITS ETF-GBP Hedged,acc,SAME
EWSP,EWSP.L,GBP,iShares S&P 500 Equal Weight UCITS ETF,acc,
ISPE,ISPE.L,GBP,iShares S&P 500 Equal Weight UCITS ETF-GBP Hedged,acc,
ISP6,IDP6.L,USD,iShares S&P SmallCap 600 UCITS ETF,dist,ISP6.L
USLV,USLV.L,GBP,SPDR® S&P® 500 Low Volatility UCITS ETF,acc,
CSINDU,CSINDU.SW,USD,iShares Dow Jones Industrial Average UCITS ETF,acc,
CSCA,CSCA.SW,USD,iShares MSCI Canada UCITS ETF,acc,
CJPU,CJPU.L,USD,iShares MSCI Japan UCITS ETF,acc,
IJPH,IJPH.L,GBP,iShares MSCI Japan UCITS ETF - GBP Hedged,acc,
FXC,FXAC.AS,EUR,iShares China Large Cap UCITS ETF,acc,
CNYA,CNYA.L,USD,iShares MSCI China A UCITS ETF,acc,IASH
IIND,IIND.L,GBP,iShares MSCI India UCITS ETF USD Acc,acc,
LTAM,DLTM.L,USD,iShares MSCI EM Latin America UCITS ETF,dist,DLTM.L
IEMI,IEMI.L,GBP,iShares EM Infrastructure UCITS ETF,acc,
EMVL,EMVL.L,USD,iShares Edge MSCI EM Value Factor UCITS ETF,acc,
SEDY,IEDY.L,USD,iShares EM Dividend UCITS ETF,dist,SEDY.L
SEGA,EUNH.DE,EUR,iShares Core € Govt Bond UCITS ETF,dist,EUNH.DE
IBGL,IBGL.AS,EUR,iShares € Govt Bond 15-30yr UCITS ETF,dist,IBGL.L
IBTL,DTLA.L,USD,iShares $ Treasury Bond 20+yr UCITS ETF,dist,IBTL.L
IDTG,IDTG.L,GBP,iShares $ Treasury Bond 20+yr UCITS ETF GBP Hedged,dist,SAME
IGLT,IGLT.L,GBP,iShares Core UK Gilts UCITS ETF,dist,SAME
GLTL,GLTL.L,GBP,SPDR® Bloomberg 15+ Year Gilt UCITS ETF,dist,SAME
ITPS,ITPS.L,GBP,iShares $ TIPS UCITS ETF,acc,
ITPG,ITPG.L,GBP,iShares $ TIPS UCITS ETF - GBP hedged,dist,SAME
INXG,INXG.L,GBP,iShares £ Index-Linked Gilts UCITS ETF,dist,SAME
GILI,GILI.L,GBP,LYXOR CORE UK GOVERNMENT INFLATION-LINK UCITS ETF (GILI),dist,SAME
IBCI,IBCI.L,GBP,iShares € Inflation Linked Govt Bond UCITS ETF,acc,
IB01,IB01.L,USD,iShares $ Treasury Bond 0-1yr UCITS ETF,acc,
TP05,TIP5.L,USD,iShares $ TIPS 0-5 UCITS ETF,dist,TP05.L
TI5G,TI5G.L,GBP,iShares $ TIPS 0-5 UCITS ETF,dist,SAME
IGLS,IGLS.L,GBP,iShares UK Gilts 0-5yr UCITS ETF,dist,SAME
CSBGE7,CSBGE7.SW,EUR,iShares € Govt Bond 3-7yr UCITS ETF,acc,
DPYA,DPYA.L,USD,iShares Developed Markets Property Yield UCITS ETF,acc,
DPYG,DPYG.L,GBP,iShares Developed Markets Property Yield UCITS ETF - GBP Hedged,dist,SAME
IASP,IASP.SW,USD,iShares Asia Property Yield UCITS ETF,dist,IASP.L
HEAL,HEAL.L,USD,iShares Healthcare Innovation UCITS ETF,acc,
INRG,INRG.L,GBP,iShares Global Clean Energy UCITS ETF,acc,
