ticker,description,currency,fund_type

EURGBP=X,EUR to GBP,GBP,currency
GBP=X,USD to GBP,GBP,currency

CSP1.L,Core S&P 500 UCITS,GBP,equities
IWM,Russell 2000,USD,equities
QQQ,Powershares Trust Ser 1,USD,equities
DIA,Dow Jones Industrial Average,USD,equities
EWG,MSCI Germany,USD,equities
FEZ,SPDR EURO Stoxx50,USD,equities
EWJ,MSCI Japan,USD,equities
INDA,MSCI India,USD,equities
FXI,China Large Cap,USD,equities
CNYA.L,MSCI China A,USD,equities
EWZ,MSCI Brazil,USD,equities
EWW,Mexico,USD,equities
ILF,Latin America 40,USD,equities
EWA,MSCI Australia,USD,equities
EEM,MSCI Emerging Mkt,USD,equities
EEMS,MSCI EM Small-Cap,USD,equities
VUKG.L,FTSE 100 Acc,GBP,equities
ISFD.L,Core FTSE 100 USD Hedged Acc,USD,equities
EUMD.L,MSCI Europe Mid Cap EUR Acc,EUR,equities
VMIG.L,FTSE 250,GBP,equities
EWSP.L,S&P 500 Equal Weight,GBP,equities
ISPE.L,S&P 500 Equal Weight-GBPH,GBP,equities
IJPH.L,MSCI Japan - GBPH,GBP,equities
IEDY.L,EM Dividend,USD,equities
LOWV.L,SPDR® S&P® 500 Low Volatility,GBP,equities

XLF,S&P Financial Sector,USD,eq-cyclical
XLI,S&P Industrial Sector,USD,eq-cyclical
XLE,S&P Energy Sector,USD,eq-cyclical
XLY,S&P Consumer Discetionary Sector,USD,eq-cyclical
XLK,S&P Technology Sector,USD,eq-cyclical
SOXX,Semiconductor,USD,eq-cyclical
GDX,VanEck Gold Miners,USD,eq-cyclical
ICLN,Global Clean Energy,USD,eq-cyclical
PICK,MSCI Global Metals & Mining Producers,USD,eq-cyclical

XLV,S&P Health Care Sector,USD,eq-defensive
XLP,S&P Consumer Staples Sector,USD,eq-defensive
XLU,S&P Utilities Sector,USD,eq-defensive
XTL,S&P Telecom Sector,USD,eq-defensive
ITA,US Aerospace & Defense,USD,eq-defensive
XBI,SPDR S&P Biotech,USD,eq-defensive
VEGI,MSCI Agriculture Producers,USD,eq-defensive
INFR.L,Global Infrastructure,GBP,eq-defensive

DPYA.L,Dev. Markets Property,USD,eq-reit
DPYG.L,Dev. Markets Property - GBPH,GBP,eq-reit
IASP.SW,Asia Property,USD,eq-reit

EMB,JPM EM USD Bond,USD,bonds-em
LEMB,JPM EM Local Ccy Bond,USD,bonds-em

IB01.L,$ Treasury Bond 0-1yr,USD,cash
ERNS.L,£ Ultrashort Bond,GBP,cash

HYG,High Yield Core,USD,bonds
AGG,Core US Aggregate Bond,USD,bonds
IEF,7-10 Treasury,USD,bonds
TLT,20+ Treasury,USD,bonds
IDTG.L,$ Treasury Bond 20+yr - GBPH,GBP,bonds
GLTL.L,SPDR BBG 15+ Year Gilt,GBP,bonds
IBGL.AS,€ Govt Bond 15-30yr,EUR,bonds

ITPG.L,$ TIPS - GBPH,GBP,bonds-il
STIP,0-5 Year TIPS Bond,USD,bonds-il
TIP,Tips Bond,USD,bonds-il
INXG.L,£ Index-Linked Gilts,GBP,bonds-il
LTPZ,PIMCO 15+ Year US TIPS,USD,bonds-il

GLD,SPDR Gold Shares,USD,commod
GSG,S&P GSCI Commodity-Indexed Trust,USD,commod
